Accession,Host,Species,Genus,Length,Collection_Date,Bat_host
JX088695.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2012,N
JQ023161.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2009,N
JQ023162.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27931,,N
KR818833.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,,N
KJ645645.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,28/09/2013,N
KF840537.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27992,04/03/2012,N
KJ778615.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,20/05/2013,N
KM392229.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27437,2013-12,N
KM392228.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,2013-12,N
KM392227.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28048,2013-11,N
KM392226.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2013-11,N
KM392225.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28026,2013-06,N
KM392224.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28032,2013-06,N
KJ645656.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,11/11/2013,N
KJ645657.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,12/11/2013,N
KM403155.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2014-03,N
KJ645658.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,18/11/2013,N
KJ645659.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,19/11/2013,N
KF760557.2,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28052,2013-03,N
KJ645660.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,19/11/2013,N
KM392230.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28025,2013-12,N
KJ645661.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,20/11/2013,N
KJ645663.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,23/11/2013,N
KJ526096.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,2013-04,N
KJ645664.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,24/11/2013,N
KJ645665.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,24/11/2013,N
KJ645666.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,24/11/2013,N
KJ645667.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,28/11/2013,N
KJ645668.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,25/11/2013,N
KJ645669.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,27/11/2013,N
KJ645670.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,27/11/2013,N
KM887144.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27994,2013,N
KJ645671.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,30/11/2013,N
KJ645672.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,28/11/2013,N
KJ645673.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,28/11/2013,N
KJ645662.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,23/11/2013,N
KJ645674.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,30/11/2013,N
KM392231.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28023,2013-12,N
KJ184549.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2013,N
KJ645646.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27988,05/10/2013,N
KJ645647.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,14/10/2013,N
KJ645648.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,20/10/2013,N
KJ645649.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,20/10/2013,N
KJ645650.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,23/10/2013,N
KJ645643.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,01/09/2013,N
KJ645642.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,26/08/2013,N
KJ645641.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,21/08/2013,N
KJ645640.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,24/07/2013,N
KJ645639.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,22/07/2013,N
KJ645638.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,22/07/2013,N
KJ645637.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,15/07/2013,N
KJ645636.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,14/07/2013,N
KM392232.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,2013-12,N
KJ645635.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,08/06/2013,N
KJ960179.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,2013,N
KJ960178.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,2013,N
KJ645651.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,23/10/2013,N
KJ645652.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,02/11/2013,N
KJ645653.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,03/11/2013,N
KJ645654.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,04/11/2013,N
KJ645655.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,05/11/2013,N
KJ588064.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27759,2014-02,N
KJ588063.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27759,2014-02,N
KJ588062.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27759,2014-02,N
KJ777677.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2012-02,N
KM189367.2,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28061,04/02/2014,N
KM052365.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,15/05/2013,N
KJ960180.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,2013,N
KJ778616.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28025,20/05/2013,N
KJ645675.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,03/12/2013,N
KJ645677.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,02/12/2013,N
KJ645696.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,29/12/2013,N
KJ645697.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,12/11/2013,N
KR011756.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,01/12/2014,N
KJ645698.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,01/01/2014,N
KR610994.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27409,15/07/2014,N
KR610993.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27409,15/07/2014,N
KR610992.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,10/10/2014,N
KR610991.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,10/10/2014,N
KJ645699.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,15/12/2013,N
KP403802.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27953,,N
LC022792.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27342,2014-10,N
KP688354.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,13/11/2014,N
KP765609.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28056,2013-07,N
KJ645695.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,29/12/2013,N
KJ645700.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,22/01/2014,N
KJ645702.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,29/01/2014,N
KJ645703.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,02/02/2014,N
KJ645704.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27989,26/06/2013,N
KJ645705.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,18/11/2013,N
KP728470.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27953,05/03/2014,N
KJ645706.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,25/11/2013,N
KJ645707.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,03/12/2013,N
MT303066.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27974,2019-02,N
MN841671.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28051,2019-02,N
KJ645708.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,03/11/2013,N
KJ645644.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,07/09/2013,N
KJ662670.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2013-12,N
KJ584361.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,14/06/2013,N
KJ645701.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,27/01/2014,N
KJ645676.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,02/12/2013,N
KJ645694.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,15/12/2013,N
KJ645693.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,15/12/2013,N
KM609213.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014-03,N
KM609212.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014-03,N
KM609211.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014-01,N
KM609210.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2014-01,N
KM609209.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,2013-03,N
KM609208.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,2012-03,N
KM609207.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,2011-04,N
KM609206.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,2012-01,N
KM609205.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,,N
KM609204.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,2011-06,N
KM609203.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28047,2012-03,N
KJ645678.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,04/12/2013,N
KJ645679.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,07/12/2013,N
KR003452.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28028,2015-01,N
KJ645680.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,04/12/2013,N
KJ645681.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,04/12/2013,N
KJ645682.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,04/12/2013,N
KJ645683.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,08/12/2013,N
KJ645684.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,11/12/2013,N
KJ645685.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,11/12/2013,N
KJ645686.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,10/12/2013,N
KJ645687.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,10/12/2013,N
KJ645688.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,11/12/2013,N
KJ645689.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,11/12/2013,N
KP162057.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27959,15/03/2014,N
KJ645690.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,11/12/2013,N
KJ645691.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,14/12/2013,N
KJ645692.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27998,15/12/2013,N
MT602520.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,2014,N
LC063842.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
KR265771.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,18/08/2014,N
LC063840.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
KY825241.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27985,2016-01,N
KY825242.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28020,2016-01,N
KY825243.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27974,2016-01,N
KX058031.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28054,05/12/2014,N
KX058032.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28054,05/12/2014,N
KX058033.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28054,05/12/2014,N
KY928065.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28063,2016-03,N
KY929405.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,04/05/2015,N
KY929406.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,02/01/2016,N
MK644605.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28043,02/02/2018,N
KY825240.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28032,2016-01,N
MK644604.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28046,13/11/2017,N
MK644602.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28045,20/10/2017,N
MK644601.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28040,01/06/2017,N
MK673545.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,28012,27/02/2018,N
KY793536.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,14/02/2015,N
KY499261.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27430,,N
KY499262.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28041,,N
KX016034.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27993,04/01/2014,N
MK702008.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28003,2018-10,N
MK862249.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2017-08,N
KY111278.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28041,28/01/2016,N
MK644603.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28043,27/10/2017,N
KY963963.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28053,2016-03,N
KX289955.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28009,01/03/2016,N
MH726362.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,08/02/2012,N
MF375374.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28079,21/05/2017,N
MH726372.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,13/12/2012,N
MH726371.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,09/01/2014,N
MH726370.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,12/03/2014,N
MH726369.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,21/08/2014,N
MH726368.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,23/09/2012,N
MF782686.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28010,2015,N
MF782687.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2015,N
MH726367.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,17/09/2012,N
MH726366.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,04/06/2012,N
MH726365.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,15/01/2013,N
KY007139.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,11/05/2015,N
KY007140.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,02/03/2015,N
MH726364.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,13/12/2012,N
MF462814.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28063,10/09/2016,N
KX839246.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28015,2013-05,N
MF737355.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2001-07,N
KU558701.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,14/11/2013,N
KU558702.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27973,29/05/2013,N
KY420075.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27967,14/03/2015,N
MF346935.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,2016-07,N
KT591944.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28025,31/12/2013,N
MH726363.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,22/06/2012,N
MH243319.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,2018-03,N
MK584552.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28044,2011-05,N
MK071639.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28010,05/05/2015,N
MK071638.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27996,21/10/2015,N
MN486588.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27933,2016-02,N
MN315264.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27937,30/09/2018,N
MH243316.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2018-03,N
MK392335.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2010-02,N
MK032692.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,2018-04,N
MN594506.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28053,27/03/2018,N
MK032691.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2018-04,N
MK032690.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28050,2018-04,N
MK032689.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,2018-03,N
MK138516.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28034,09/03/2018,N
MK606369.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/08/2018,N
MK606368.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,24/06/2018,N
MK140814.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28036,2018,N
MK140813.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28026,2018,N
MK140812.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28022,2018,N
MK140811.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,2018,N
KU975389.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28044,2014-11,N
MN692793.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,11/05/2019,N
MN692792.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,07/01/2019,N
MN692791.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,30/01/2019,N
MN692790.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,03/05/2018,N
MN692789.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,02/03/2018,N
MN692788.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,02/02/2018,N
MN056942.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,28008,2019-02,N
KY649107.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28032,01/05/2016,N
MN114121.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2018-03,N
MK071619.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28016,09/01/2015,N
MK071637.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,11/08/2015,N
MK071636.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28019,29/07/2015,N
KX791060.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28035,12/05/2014,N
KX812523.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,30/03/2016,N
KX812524.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,01/08/2016,N
KX550281.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28067,16/01/2015,N
MK071635.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28018,30/07/2015,N
MK071634.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28018,03/07/2015,N
MK071633.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,03/07/2015,N
LC063841.1,Sus scrofa domesticus,Porcine epidemic diarrhea virus,Alphacoronavirus,27904,2014-04,N
MK071631.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28005,06/01/2015,N
MK071630.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28013,03/06/2015,N
MK071629.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28031,20/05/2015,N
MK071628.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,20/05/2015,N
MK071627.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,08/05/2015,N
MK071626.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28019,06/05/2015,N
MK071625.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28013,27/04/2015,N
KX580953.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2013,N
MK071624.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28018,21/03/2014,N
MK071623.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28029,16/03/2014,N
MK071622.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28024,17/03/2014,N
MK071621.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28011,07/03/2014,N
MK071620.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28017,29/01/2015,N
MH243318.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,2018-03,N
MG781192.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27962,23/10/2014,N
MG334555.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,27438,07/02/2017,N
MG334554.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,07/02/2017,N
MH726407.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,25/02/2017,N
MH726406.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,25/02/2017,N
MH726405.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/12/2016,N
MH726404.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,17/12/2017,N
MH726403.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,24/02/2017,N
MH726402.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/05/2016,N
MH726401.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,27/11/2011,N
MH726400.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,26/04/2011,N
MH726399.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,25/09/2011,N
MH726398.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,25/05/2011,N
MH726397.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,20/10/2012,N
MH726396.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,07/12/2013,N
MH726395.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,06/02/2013,N
MH708895.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28033,18/01/2011,N
MH726394.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,08/12/2015,N
MH726393.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/03/2011,N
MH726392.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,02/07/2013,N
MH726391.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,15/07/2012,N
MH726390.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/02/2011,N
MH726389.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/02/2011,N
MH726388.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/02/2011,N
MH726387.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,10/02/2011,N
MH726386.1,Sus scrofa,Porcine epidemic diarrhea virus,Alphacoronavirus,28038,25/05/2011,N
